any,pressupost_nou_aprovat,font,nominal_meur,ipc_index_2003_100,real_2003_meur
2003,si,idescat,16081.39,100.0,16081.39
2004,si,idescat,18710.82,103.2,18130.64
2005,si,idescat,21516.87,107.02,20105.77
2006,si,idescat,23924.46,109.91,21767.74
2007,si,idescat,26684.64,114.52,23300.47
2008,si,idescat,28243.34,116.13,24321.0
2009,si,idescat,29730.76,117.06,25398.67
2010,si,api,30724.18,120.57,25482.85
2011,si,api,28137.18,123.46,22790.21
2012,si,api,28052.78,127.04,22081.48
2013,no,api_prorrogat,28052.78,127.42,22015.43
2014,si,api,26064.56,126.15,20661.72
2015,si,api,27192.93,126.15,21556.2
2016,no,api_prorrogat,27192.93,128.17,21216.74
2017,si,api,28835.11,129.58,22253.23
2018,no,api_prorrogat,28835.11,131.13,21989.36
2019,no,api_prorrogat,28835.11,132.18,21814.84
2020,si,api,32521.34,131.52,24727.24
2021,no,api_prorrogat,32521.34,140.07,23218.07
2022,si,api,38139.38,148.05,25760.62
2023,si,api,41024.72,152.64,26876.31
2024,no,api_prorrogat,41024.72,156.92,26144.27
